"filename", "language", "YAML", "Go Module File", "Dotenv", "Docker", "Go Work File", "Go", "Python", "Makefile", "Ignore", "Go Checksum File", "Shell Script", "JSON", "TypeScript", "HTML", "Properties", "JavaScript", "vue", "JSON with Comments", "PostCSS", "XML", "comment", "blank", "total"
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/main.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 0, 0, 2, 7, 37
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/router/index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 0, 0, 0, 0, 2, 6, 93
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/auth.test.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 121, 0, 0, 0, 0, 0, 0, 0, 6, 31, 158
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/auth.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 8, 10, 92
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/stores/counter.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/recaptcha.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 4, 31
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/toast.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 0, 0, 0, 8, 141
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/utils/upload.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 5, 5, 26
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/AboutView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 2, 16
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/HomeView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/LoginView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 458, 0, 0, 0, 0, 38, 496
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/ResetPasswordView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 233, 0, 0, 0, 6, 24, 263
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/UnirseView.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 15, 157
"/home/MictDev/Projects/Capacitaciones-mh/frontend/src/views/admin/AdminDashboard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 206, 0, 0, 0, 0, 21, 227
